21/05/20 21:05:13 1005.139653913515840 DEBUG utils.debug_sql (0.004) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/20 21:05:13 1005.139653913515840 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/20 21:05:13 1005.139653913515840 DEBUG utils.debug_sql (0.004) SHOW FULL TABLES; args=None
21/05/20 21:05:13 1005.139653913515840 DEBUG utils.debug_sql (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/05/20 21:05:15 1509.139853370148672 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/20 21:05:15 1509.139853370148672 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/20 21:05:15 1509.139853370148672 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/05/20 21:05:15 1509.139853370148672 DEBUG utils.debug_sql (0.003) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/05/20 21:06:45 1509.139853167019776 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/20 21:06:45 1509.139853167019776 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/20 21:06:45 1509.139853167019776 DEBUG utils.debug_sql (0.005) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5dFmuMeHDBO0eDOp_9bJ_D8') LIMIT 21; args=('ohDZg5dFmuMeHDBO0eDOp_9bJ_D8',)
21/05/20 21:06:45 1509.139853167019776 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
