21/06/05 04:00:26 991.140529235482432 DEBUG utils.debug_sql (0.006) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/05 04:00:26 991.140529235482432 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/05 04:00:26 991.140529235482432 DEBUG utils.debug_sql (0.004) SHOW FULL TABLES; args=None
21/06/05 04:00:26 991.140529235482432 DEBUG utils.debug_sql (0.006) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/06/05 04:00:27 1509.140601489700672 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/05 04:00:27 1509.140601489700672 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/05 04:00:27 1509.140601489700672 DEBUG utils.debug_sql (0.000) SHOW FULL TABLES; args=None
21/06/05 04:00:27 1509.140601489700672 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5YIbsE_mPVdkykywSU41q74') LIMIT 21; args=('ohDZg5YIbsE_mPVdkykywSU41q74',)
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.001) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-06-05 06:29:27.227378', '2021-06-05 06:29:27.227464', 0, '', 'ohDZg5YIbsE_mPVdkykywSU41q74', '', '', '', 0, '', '', '', '', '', ''); args=['2021-06-05 06:29:27.227378', '2021-06-05 06:29:27.227464', False, '', 'ohDZg5YIbsE_mPVdkykywSU41q74', '', '', '', 0, '', '', '', '', '', '']
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.001) UPDATE `wechat_user` SET `create_time` = '2021-06-05 06:29:27.227378', `modify_time` = '2021-06-05 06:29:27.231725', `session_key` = 'UJi6Yu5PQRBwVPz4obcjLA==' WHERE `wechat_user`.`id` = 219; args=('2021-06-05 06:29:27.227378', '2021-06-05 06:29:27.231725', 'UJi6Yu5PQRBwVPz4obcjLA==', 219)
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` IN ('ohDZg5YIbsE_mPVdkykywSU41q74')); args=('ohDZg5YIbsE_mPVdkykywSU41q74',)
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/05 14:29:27 1509.140601286309632 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
