21/07/10 04:00:24 1040.140031664957248 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/10 04:00:24 1040.140031664957248 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/10 04:00:24 1040.140031664957248 DEBUG utils.debug_sql (0.005) SHOW FULL TABLES; args=None
21/07/10 04:00:24 1040.140031664957248 DEBUG utils.debug_sql (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/10 04:00:27 1555.140339940104000 DEBUG utils.debug_sql (0.003) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/10 04:00:27 1555.140339940104000 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/10 04:00:27 1555.140339940104000 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/07/10 04:00:27 1555.140339940104000 DEBUG utils.debug_sql (0.004) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/10 21:33:34 1555.140339748251392 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/10 21:33:34 1555.140339748251392 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/10 21:33:34 1555.140339748251392 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5Y6-qwaWIpS-QQ_D_kQ4VcQ') LIMIT 21; args=('ohDZg5Y6-qwaWIpS-QQ_D_kQ4VcQ',)
21/07/10 21:33:34 1555.140339748251392 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
