21/07/06 04:00:27 1085.140477062600512 DEBUG utils.debug_sql (0.012) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/06 04:00:27 1085.140477062600512 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/06 04:00:27 1085.140477062600512 DEBUG utils.debug_sql (0.031) SHOW FULL TABLES; args=None
21/07/06 04:00:27 1085.140477062600512 DEBUG utils.debug_sql (0.006) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/06 04:00:29 1569.140628774586176 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/06 04:00:29 1569.140628774586176 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/06 04:00:29 1569.140628774586176 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/07/06 04:00:29 1569.140628774586176 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5R76F3IdU5Kq9qfPdRhEP9I') LIMIT 21; args=('ohDZg5R76F3IdU5Kq9qfPdRhEP9I',)
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.002) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-07-06 02:30:57.439862', '2021-07-06 02:30:57.439956', 0, '', 'ohDZg5R76F3IdU5Kq9qfPdRhEP9I', '', '', '', 0, '', '', '', '', '', ''); args=['2021-07-06 02:30:57.439862', '2021-07-06 02:30:57.439956', False, '', 'ohDZg5R76F3IdU5Kq9qfPdRhEP9I', '', '', '', 0, '', '', '', '', '', '']
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.001) UPDATE `wechat_user` SET `create_time` = '2021-07-06 02:30:57.439862', `modify_time` = '2021-07-06 02:30:57.445908', `session_key` = 'tU2WgQf3Wh3/6H2n5LurBg==' WHERE `wechat_user`.`id` = 235; args=('2021-07-06 02:30:57.439862', '2021-07-06 02:30:57.445908', 'tU2WgQf3Wh3/6H2n5LurBg==', 235)
21/07/06 10:30:57 1569.140628582733568 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` IN ('ohDZg5R76F3IdU5Kq9qfPdRhEP9I')); args=('ohDZg5R76F3IdU5Kq9qfPdRhEP9I',)
21/07/06 10:30:59 1569.140628582733568 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/06 10:30:59 1569.140628582733568 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/06 10:30:59 1569.140628582733568 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`id` IN (235)); args=(235,)
21/07/06 10:31:01 1569.140628503557888 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/06 10:31:01 1569.140628503557888 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/06 10:31:01 1569.140628503557888 DEBUG utils.debug_sql (0.001) SELECT `meetings_room`.`id`, `meetings_room`.`create_time`, `meetings_room`.`modify_time`, `meetings_room`.`delete_status`, `meetings_room`.`remark`, `meetings_room`.`name`, `meetings_room`.`description`, `meetings_room`.`create_user_id`, `meetings_room`.`qr_code`, `meetings_room`.`create_user_manager` FROM `meetings_room` WHERE (NOT `meetings_room`.`delete_status` AND `meetings_room`.`create_user_id` = 235); args=(235,)
