21/07/03 04:53:19 104780.139679057598272 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/03 04:53:19 104780.139679057598272 DEBUG utils.debug_sql (0.010) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/03 04:53:19 104780.139679057598272 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/07/03 04:53:20 104780.139679057598272 DEBUG utils.debug_sql (0.013) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5dIYNa7c_SxgMhNKgsJpm7I') LIMIT 21; args=('ohDZg5dIYNa7c_SxgMhNKgsJpm7I',)
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.002) UPDATE `wechat_user` SET `modify_time` = '2021-07-03 05:57:31.041882', `session_key` = '1gH0SnlW0JRoN6rh8Dnc9w==' WHERE `wechat_user`.`id` = 18; args=('2021-07-03 05:57:31.041882', '1gH0SnlW0JRoN6rh8Dnc9w==', 18)
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.000) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` IN ('ohDZg5dIYNa7c_SxgMhNKgsJpm7I')); args=('ohDZg5dIYNa7c_SxgMhNKgsJpm7I',)
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`id` IN (18)); args=(18,)
21/07/03 13:57:31 104656.139847991015168 DEBUG utils.debug_sql (0.001) SELECT `meetings_room`.`id`, `meetings_room`.`create_time`, `meetings_room`.`modify_time`, `meetings_room`.`delete_status`, `meetings_room`.`remark`, `meetings_room`.`name`, `meetings_room`.`description`, `meetings_room`.`create_user_id`, `meetings_room`.`qr_code`, `meetings_room`.`create_user_manager` FROM `meetings_room` WHERE (NOT `meetings_room`.`delete_status` AND `meetings_room`.`create_user_id` = 18); args=(18,)
21/07/03 13:57:32 104656.139847991015168 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
