21/07/01 04:00:26 1034.140165818234688 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/01 04:00:26 1034.140165818234688 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/01 04:00:26 1034.140165818234688 DEBUG utils.debug_sql (0.004) SHOW FULL TABLES; args=None
21/07/01 04:00:26 1034.140165818234688 DEBUG utils.debug_sql (0.007) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/01 04:00:28 1519.139821865305920 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/01 04:00:28 1519.139821865305920 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/01 04:00:28 1519.139821865305920 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/07/01 04:00:28 1519.139821865305920 DEBUG utils.debug_sql (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5bTbMaYqquT2GVFZBKxZilg') LIMIT 21; args=('ohDZg5bTbMaYqquT2GVFZBKxZilg',)
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.002) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-07-01 01:33:37.512364', '2021-07-01 01:33:37.512484', 0, '', 'ohDZg5bTbMaYqquT2GVFZBKxZilg', '', '', '', 0, '', '', '', '', '', ''); args=['2021-07-01 01:33:37.512364', '2021-07-01 01:33:37.512484', False, '', 'ohDZg5bTbMaYqquT2GVFZBKxZilg', '', '', '', 0, '', '', '', '', '', '']
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.001) UPDATE `wechat_user` SET `create_time` = '2021-07-01 01:33:37.512364', `modify_time` = '2021-07-01 01:33:37.517758', `session_key` = '6vmE3y91KNCnM7X2UKNx6w==' WHERE `wechat_user`.`id` = 234; args=('2021-07-01 01:33:37.512364', '2021-07-01 01:33:37.517758', '6vmE3y91KNCnM7X2UKNx6w==', 234)
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` IN ('ohDZg5bTbMaYqquT2GVFZBKxZilg')); args=('ohDZg5bTbMaYqquT2GVFZBKxZilg',)
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.001) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`id` IN (234)); args=(234,)
21/07/01 09:33:37 1519.139821586577152 DEBUG utils.debug_sql (0.001) SELECT `meetings_room`.`id`, `meetings_room`.`create_time`, `meetings_room`.`modify_time`, `meetings_room`.`delete_status`, `meetings_room`.`remark`, `meetings_room`.`name`, `meetings_room`.`description`, `meetings_room`.`create_user_id`, `meetings_room`.`qr_code`, `meetings_room`.`create_user_manager` FROM `meetings_room` WHERE (NOT `meetings_room`.`delete_status` AND `meetings_room`.`create_user_id` = 234); args=(234,)
21/07/01 09:33:38 1519.139821673453312 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/07/01 09:33:38 1519.139821673453312 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
