21/06/07 04:00:24 1026.139972396717888 DEBUG utils.debug_sql (0.012) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/07 04:00:24 1026.139972396717888 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/07 04:00:24 1026.139972396717888 DEBUG utils.debug_sql (0.045) SHOW FULL TABLES; args=None
21/06/07 04:00:24 1026.139972396717888 DEBUG utils.debug_sql (0.012) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/06/07 04:00:26 1519.140616931071808 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/07 04:00:26 1519.140616931071808 DEBUG utils.debug_sql (0.003) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/07 04:00:26 1519.140616931071808 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/06/07 04:00:26 1519.140616931071808 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/06/07 05:37:01 1519.140616739219200 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/06/07 05:37:01 1519.140616739219200 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/06/07 05:37:01 1519.140616739219200 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5Vh9f4jL-lb5D5Ba-8espu0') LIMIT 21; args=('ohDZg5Vh9f4jL-lb5D5Ba-8espu0',)
21/06/07 05:37:01 1519.140616739219200 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
