21/04/24 23:37:24 1104.140250270701376 DEBUG utils.debug_sql (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/24 23:37:24 1104.140250270701376 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/24 23:37:24 1104.140250270701376 DEBUG utils.debug_sql (0.005) SHOW FULL TABLES; args=None
21/04/24 23:37:24 1104.140250270701376 DEBUG utils.debug_sql (0.006) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/04/24 23:37:27 1519.140442344675136 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/24 23:37:27 1519.140442344675136 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/24 23:37:27 1519.140442344675136 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/04/24 23:37:27 1519.140442344675136 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5Q_ck8-jjwVWyoyrEaM0USs') LIMIT 21; args=('ohDZg5Q_ck8-jjwVWyoyrEaM0USs',)
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.001) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-04-24 15:38:50.278674', '2021-04-24 15:38:50.278742', 0, '', 'ohDZg5Q_ck8-jjwVWyoyrEaM0USs', '', '', '', 0, '', '', '', '', '', ''); args=['2021-04-24 15:38:50.278674', '2021-04-24 15:38:50.278742', False, '', 'ohDZg5Q_ck8-jjwVWyoyrEaM0USs', '', '', '', 0, '', '', '', '', '', '']
21/04/24 23:38:50 1519.140442153056000 DEBUG utils.debug_sql (0.001) UPDATE `wechat_user` SET `create_time` = '2021-04-24 15:38:50.278674', `modify_time` = '2021-04-24 15:38:50.282139', `session_key` = 'gfKg4HVfQTu5eeSqyy6kQw==' WHERE `wechat_user`.`id` = 187; args=('2021-04-24 15:38:50.278674', '2021-04-24 15:38:50.282139', 'gfKg4HVfQTu5eeSqyy6kQw==', 187)
