21/05/26 04:00:26 1027.139992832833344 DEBUG utils.debug_sql (0.002) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/26 04:00:26 1027.139992832833344 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/26 04:00:26 1027.139992832833344 DEBUG utils.debug_sql (0.005) SHOW FULL TABLES; args=None
21/05/26 04:00:26 1027.139992832833344 DEBUG utils.debug_sql (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/05/26 04:00:27 1521.139939388503872 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/26 04:00:27 1521.139939388503872 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/26 04:00:27 1521.139939388503872 DEBUG utils.debug_sql (0.001) SHOW FULL TABLES; args=None
21/05/26 04:00:27 1521.139939388503872 DEBUG utils.debug_sql (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.002) SELECT `wechat_user`.`id`, `wechat_user`.`create_time`, `wechat_user`.`modify_time`, `wechat_user`.`delete_status`, `wechat_user`.`remark`, `wechat_user`.`openid`, `wechat_user`.`unionid`, `wechat_user`.`session_key`, `wechat_user`.`nickname`, `wechat_user`.`gender`, `wechat_user`.`language`, `wechat_user`.`country`, `wechat_user`.`province`, `wechat_user`.`city`, `wechat_user`.`avatarurl`, `wechat_user`.`mobile` FROM `wechat_user` WHERE (NOT `wechat_user`.`delete_status` AND `wechat_user`.`openid` = 'ohDZg5a3BUTvEI5F6gwxvV0n6UBo') LIMIT 21; args=('ohDZg5a3BUTvEI5F6gwxvV0n6UBo',)
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.000) SELECT VERSION(); args=None
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.003) INSERT INTO `wechat_user` (`create_time`, `modify_time`, `delete_status`, `remark`, `openid`, `unionid`, `session_key`, `nickname`, `gender`, `language`, `country`, `province`, `city`, `avatarurl`, `mobile`) VALUES ('2021-05-26 18:12:58.739117', '2021-05-26 18:12:58.739175', 0, '', 'ohDZg5a3BUTvEI5F6gwxvV0n6UBo', '', '', '', 0, '', '', '', '', '', ''); args=['2021-05-26 18:12:58.739117', '2021-05-26 18:12:58.739175', False, '', 'ohDZg5a3BUTvEI5F6gwxvV0n6UBo', '', '', '', 0, '', '', '', '', '', '']
21/05/27 02:12:58 1521.139939196913408 DEBUG utils.debug_sql (0.001) UPDATE `wechat_user` SET `create_time` = '2021-05-26 18:12:58.739117', `modify_time` = '2021-05-26 18:12:58.745002', `session_key` = 'JEtw+EjXAKt+Ksm/miZu/A==' WHERE `wechat_user`.`id` = 213; args=('2021-05-26 18:12:58.739117', '2021-05-26 18:12:58.745002', 'JEtw+EjXAKt+Ksm/miZu/A==', 213)
